baker,series,episode,technical,result,signature_bake,show_stopper,baker_age,baker_occupation,hometown
Sarah-Jane,3,5,4,IN,Beef Wellington with Parma Ham and Gorgonzola Cheese,Chocolate and Banana Cream Pie,28,Vicar's wife,"Bewbush, West Sussex"
Manisha,3,5,5,OUT,Lamb Wellington with Rosemary and Mint,Banana Scotch Pie,27,Nursery nurse,Leicester
Ryan,3,5,8,STAR BAKER,Curry Spiced Seabass Wellington,Key Lime Pie,38,Photographer,Bristol
Natasha,3,5,NA,NA,NA,NA,36,Midwife,"Tamworth, Staffordshire"
Peter,3,5,NA,NA,NA,NA,43,Sales manager,"Windsor, Berkshire"
Stuart,3,5,NA,NA,NA,NA,26,PE teacher,"Lichfield, Staffordshire"
Victoria,3,5,NA,NA,NA,NA,50,CEO of the charity Plantlife,Somerset
Cathryn,3,6,3,IN,"Chocolate Walnut Whip Puddings
Elderflower Sponges",Roasted Vegetable Couscous and Sheep Cheese Strudel,27,Shop assistant,"Pease Pottage, West Sussex"
Danny,3,6,2,IN,Banoffee Puddings with Walnut Butterscotch SauceJubilee Chocolate Fondants,"Leek, Potato, Pistachio and Gruyère Strudel",45,Intensive care consultant,Sheffield
James,3,6,7,IN,Banana and Clove PuddingsClootie Dumplings,"Strawberry, Rhubarb and Ginger Strudel",21,Medical student,"Hillswick, Shetland Islands"
John,3,6,5,IN,Spicy Toffee PuddingsRaspberry and White Chocolate Puddings,Did not complete due to injury,22,Law student,Wigan
Ryan,3,6,6,IN,Chocolate FondantsSticky Ginger and Date Puddings,"Apple, Sour Cherry, Raisin and Mixed Nuts Strudel",38,Photographer,Bristol
Sarah-Jane,3,6,4,IN,Sticky Toffee PuddingsGranny's Saucy Lemon Puddings,Sweet Strudel with Sour Cherries,28,Vicar's wife,"Bewbush, West Sussex"
Brendan,3,6,1,STAR BAKER,"Rhubarb, Strawberry and Ginger Puddings
Sticky Toffee Puddings","Spinach, Cheese and Walnut Strudel",63,Recruitment consultant,Sutton Coldfield
Manisha,3,6,NA,NA,NA,NA,27,Nursery nurse,Leicester
Natasha,3,6,NA,NA,NA,NA,36,Midwife,"Tamworth, Staffordshire"
Peter,3,6,NA,NA,NA,NA,43,Sales manager,"Windsor, Berkshire"
Stuart,3,6,NA,NA,NA,NA,26,PE teacher,"Lichfield, Staffordshire"
Victoria,3,6,NA,NA,NA,NA,50,CEO of the charity Plantlife,Somerset
Brendan,3,7,4,IN,Chelsea Bunskis,Black Forest Christmas Stollen,63,Recruitment consultant,Sutton Coldfield
Cathryn,3,7,5,IN,Lady Arundel's Manchet Buns,Bonfire Night Tear 'n' Share Brioche,27,Shop assistant,"Pease Pottage, West Sussex"
James,3,7,1,IN,Easter Chelsea Buns,Whisky Kugelhopf-Brioche Baba,21,Medical student,"Hillswick, Shetland Islands"
John,3,7,3,IN,Cherry and Almond Saffron Buns,Marzipan Stollen,22,Law student,Wigan
Ryan,3,7,6,OUT,Lardy Cakes,Char Siu Bao,38,Photographer,Bristol
Sarah-Jane,3,7,7,OUT,"Orange, Nutmeg and Saffron Buns",Sour Cherry and Dark Chocolate Christmas Plait,28,Vicar's wife,"Bewbush, West Sussex"
Danny,3,7,2,STAR BAKER,Bakewell Chelsea Buns,European Christmas Wreath,45,Intensive care consultant,Sheffield
Manisha,3,7,NA,NA,NA,NA,27,Nursery nurse,Leicester
Natasha,3,7,NA,NA,NA,NA,36,Midwife,"Tamworth, Staffordshire"
Peter,3,7,NA,NA,NA,NA,43,Sales manager,"Windsor, Berkshire"
Stuart,3,7,NA,NA,NA,NA,26,PE teacher,"Lichfield, Staffordshire"
Victoria,3,7,NA,NA,NA,NA,50,CEO of the charity Plantlife,Somerset
Brendan,3,8,2,IN,Multi-Seed Savoury Crackers,Fantasy Gingerbread Bird House,63,Recruitment consultant,Sutton Coldfield
Danny,3,8,4,IN,Spiced Almond Drinks Crackers,Gingerbread Big Ben,45,Intensive care consultant,Sheffield
John,3,8,3,IN,Asian Spice Crackers,Gingerbread Roman Coliseum,22,Law student,Wigan
Cathryn,3,8,5,OUT,Cheese and Pickle Crackers,Gingerbread Buckingham Palace,27,Shop assistant,"Pease Pottage, West Sussex"
James,3,8,1,STAR BAKER,"Smoky Cayenne, Cumin and Chilli Crackers",Gingerbread Barn,21,Medical student,"Hillswick, Shetland Islands"
Manisha,3,8,NA,NA,NA,NA,27,Nursery nurse,Leicester
Natasha,3,8,NA,NA,NA,NA,36,Midwife,"Tamworth, Staffordshire"
Peter,3,8,NA,NA,NA,NA,43,Sales manager,"Windsor, Berkshire"
Ryan,3,8,NA,NA,NA,NA,38,Photographer,Bristol
Sarah-Jane,3,8,NA,NA,NA,NA,28,Vicar's wife,"Bewbush, West Sussex"
Stuart,3,8,NA,NA,NA,NA,26,PE teacher,"Lichfield, Staffordshire"
Victoria,3,8,NA,NA,NA,NA,50,CEO of the charity Plantlife,Somerset
Brendan,3,9,3,IN,Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets,Gateau St. Honoré,63,Recruitment consultant,Sutton Coldfield
John,3,9,2,IN,Lemon MadeleinesWhite Chocolate and Raspberry TartletsDark Chocolate and Cherry Macaroons,Gateau St. Honoré a la Passion,22,Law student,Wigan
Danny,3,9,4,OUT,Blackberry and Peppermint MacaroonsMiniature Raspberry and Basil FinanciersOrange and White Chocolate Langues de Chat,Rosewater and Lychee St. Honoré,45,Intensive care consultant,Sheffield
James,3,9,1,STAR BAKER,"Lemon and Rhubarb TartletsChocolate Indulgence Petits FoursChilli, Lime and Raspberry Macaroons","Coffee, Caramel and Hazelnut Paris-Brest",21,Medical student,"Hillswick, Shetland Islands"
Cathryn,3,9,NA,NA,NA,NA,27,Shop assistant,"Pease Pottage, West Sussex"
Manisha,3,9,NA,NA,NA,NA,27,Nursery nurse,Leicester
Natasha,3,9,NA,NA,NA,NA,36,Midwife,"Tamworth, Staffordshire"
Peter,3,9,NA,NA,NA,NA,43,Sales manager,"Windsor, Berkshire"
Ryan,3,9,NA,NA,NA,NA,38,Photographer,Bristol
Sarah-Jane,3,9,NA,NA,NA,NA,28,Vicar's wife,"Bewbush, West Sussex"
Stuart,3,9,NA,NA,NA,NA,26,PE teacher,"Lichfield, Staffordshire"
Victoria,3,9,NA,NA,NA,NA,50,CEO of the charity Plantlife,Somerset
Brendan,3,10,2,Runner-up,Potato and Pepper Pithivier,Family Reunion Chiffon Cake,63,Recruitment consultant,Sutton Coldfield
James,3,10,1,Runner-up,Spanish Pithivier with Chorizo and Red Pepper,United Chiffon Cakes,21,Medical student,"Hillswick, Shetland Islands"
John,3,10,2,WINNER,Italian Sausage and Roasted Vegetable Pithivier,Heaven and Hell Chiffon Cake,22,Law student,Wigan
Cathryn,3,10,NA,NA,NA,NA,27,Shop assistant,"Pease Pottage, West Sussex"
Danny,3,10,NA,NA,NA,NA,45,Intensive care consultant,Sheffield
Manisha,3,10,NA,NA,NA,NA,27,Nursery nurse,Leicester
Natasha,3,10,NA,NA,NA,NA,36,Midwife,"Tamworth, Staffordshire"
Peter,3,10,NA,NA,NA,NA,43,Sales manager,"Windsor, Berkshire"
Ryan,3,10,NA,NA,NA,NA,38,Photographer,Bristol
Sarah-Jane,3,10,NA,NA,NA,NA,28,Vicar's wife,"Bewbush, West Sussex"
Stuart,3,10,NA,NA,NA,NA,26,PE teacher,"Lichfield, Staffordshire"
Victoria,3,10,NA,NA,NA,NA,50,CEO of the charity Plantlife,Somerset
Ali,4,1,11,IN,Rose and Pistachio Cake,"Chocolate, Raspberry and Passion Fruit Engagement Cake",25,Charity worker,"Saltley, Birmingham"
Beca,4,1,8,IN,Grapefruit Sandwich Cake,Chocolate Cherry Indulgence,31,Military Wives' Choir Singer,"Aldershot, Hampshire"
Christine,4,1,3,IN,"Strawberry, Vanilla and Rosewater Summer Basket",Chocolate and Orange 'Fripperous' Hat Cake,66,Director of an engraving company,"Didcot, Oxfordshire"
Deborah,4,1,9,IN,Pineapple Cake,'Coffee Time',51,Dentist,Peterborough
Frances,4,1,7,IN,Giant Jam Sandwich,Secret Squirrel Cake,31,Children's Clothes Designer,"Market Harborough, Leicestershire"
Glenn,4,1,4,IN,Strawberries and Cream Cake,Almond and Espresso Chocolate Cake,37,English Teacher,"Teignmouth, Devon"
Howard,4,1,6,IN,Passion Fruit and Coconut Cake,Black Forest Revisited,51,Council Worker,Sheffield
Kimberley,4,1,10,IN,Blood Orange Cake,"Chocolate, Raspberry & Basil Layer Cake",30,Psychologist,London
Lucy,4,1,2,IN,Timperley Early Cake,Thyme 'Wildwood' Cake,38,Horticulturist,"Grimsby, Lincolnshire"
Mark,4,1,5,IN,Lemon and Poppy Seed Cake,Chocolate Monster,37,Carpenter and Kitchen Fitter,Milton Keynes
Ruby,4,1,12,IN,Rhubarb and Custard Sandwich Cake,Chocolate and Ginger Night Sky Cake,20,History of Art and Philosophy Student,"Southend, Essex"
Toby,4,1,13,OUT,Spiced and Iced Carrot Cake,Two Tiered Chocolate Cake,30,Web Programmer,"Reading, Berkshire"
Robert,4,1,1,STAR BAKER,Pecan and Apple Cake,Raspberry Chocolate Cake,54,Space Satellite Designer,"Melbourn, Cambridgeshire"
Ali,4,2,9,IN,Italian Grissini,Sweet and Savoury Yin Yang Bread,25,Charity worker,"Saltley, Birmingham"
Beca,4,2,11,IN,Fennel and Chilli Breadsticks,Five Strand Christmas Wreath,31,Military Wives' Choir Singer,"Aldershot, Hampshire"
Christine,4,2,4,IN,Mediterranean Breadsticks with Oregano,Double Plaited Loaf,66,Director of an engraving company,"Didcot, Oxfordshire"
Deborah,4,2,8,IN,Fennel & Chilli Breadsticks,Walnut Fleur Loaf,51,Dentist,Peterborough
Frances,4,2,2,IN,Giant Matchsticks,Sailor's Knot,31,Children's Clothes Designer,"Market Harborough, Leicestershire"
Glenn,4,2,7,IN,Rosemary and Parmesan Grissini,Harvest Crown,37,English Teacher,"Teignmouth, Devon"
Howard,4,2,10,IN,Moroccan Breadsticks,Picasso Sun Bread,51,Council Worker,Sheffield
Kimberley,4,2,1,IN,Nigella Seed and Parmesan Breadsticks,Peace Bread,30,Psychologist,London
Mark,4,2,6,IN,Rosemary & Raisin Breadsticks,Sage & Garlic Plait,37,Carpenter and Kitchen Fitter,Milton Keynes
Robert,4,2,5,IN,Twisty Rye Bread Sticks,Tribute Loaf,54,Space Satellite Designer,"Melbourn, Cambridgeshire"
Lucy,4,2,12,OUT,Grissini with Salt,Roast Tomato Bread,38,Horticulturist,"Grimsby, Lincolnshire"
Ruby,4,2,3,STAR BAKER,Mexican Breadsticks,White Chocolate and Orange Peacock Bread,20,History of Art and Philosophy Student,"Southend, Essex"
Toby,4,2,NA,NA,NA,NA,30,Web Programmer,"Reading, Berkshire"
Ali,4,3,5,IN,"Coconut, Raspberry and Lemon Meringue Trifle",Vanilla Latte Mini CakesLime & Mint Shortbread Pops,25,Charity worker,"Saltley, Birmingham"
Beca,4,3,10,IN,Orange and Ginger Trifle,Limoncello and Blueberry BurstsMillionaire Shortbread,31,Military Wives' Choir Singer,"Aldershot, Hampshire"
Frances,4,3,8,IN,Apple and Blackberry Crumble Trifle,'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes,31,Children's Clothes Designer,"Market Harborough, Leicestershire"
Glenn,4,3,1,IN,Raspberry and Almond Trifle,Billionaire BouchéesOrange Financiers,37,English Teacher,"Teignmouth, Devon"
Howard,4,3,7,IN,Caramel and Apple Trifle*,Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits,51,Council Worker,Sheffield
Kimberley,4,3,6,IN,"Peach, Almond and Ginger Trifle",Chocolate Pistachio FinanciersLemon Bergamot Biscuits,30,Psychologist,London
Robert,4,3,2,IN,Rhubarb and Orange Trifle,Almond FriandsTurǫn Macaroons,54,Space Satellite Designer,"Melbourn, Cambridgeshire"
Ruby,4,3,3,IN,Desert Island Trifle,Lemon Shortbread and White Chocolate SeashellsBlackberry and Chocolate Layer Cakes,20,History of Art and Philosophy Student,"Southend, Essex"
Deborah,4,3,9,OUT,Tropical Trifle*,Canelé Cherry and Chocolate CakesRose Cookies,51,Dentist,Peterborough
Mark,4,3,11,OUT,"Ginger, Mango and Passion Fruit Trifle",Rose and Pistachio MacaroonsChocolate and Raspberry Bites,37,Carpenter and Kitchen Fitter,Milton Keynes
Christine,4,3,4,STAR BAKER,Caribbean Pina Colada Trifle,Ninety-NinersSachertorte Parcels,66,Director of an engraving company,"Didcot, Oxfordshire"
Lucy,4,3,NA,NA,NA,NA,38,Horticulturist,"Grimsby, Lincolnshire"
Toby,4,3,NA,NA,NA,NA,30,Web Programmer,"Reading, Berkshire"
Beca,4,4,2,IN,Mamgu's Cherry-Apple Tart,Moroccan Vegetable Filo Feast,31,Military Wives' Choir Singer,"Aldershot, Hampshire"
Christine,4,4,7,IN,"Granny Rogers' Apple, Plum & Cinnamon Country Pie",Roasted Vegetable Filo Pie with Feta Cheese,66,Director of an engraving company,"Didcot, Oxfordshire"
Frances,4,4,1,IN,Peach Pie In the Sky,Cherry Tree Baklava Filo Pie,31,Children's Clothes Designer,"Market Harborough, Leicestershire"
Glenn,4,4,9,IN,Apple & Maple Syrup Pie,Spanakopita (Walnut and Feta Cheese),37,English Teacher,"Teignmouth, Devon"
Howard,4,4,5,IN,Apple Pie with Sage Pastry,Fresh Fig and Feta Filo Flan,51,Council Worker,Sheffield
Robert,4,4,3,IN,Apple and Pear Pie with Thyme,Spanakopita with St George's Mushrooms,54,Space Satellite Designer,"Melbourn, Cambridgeshire"
Ruby,4,4,6,IN,Apple and Marzipan Pie,"Rose, Almond and Raspberry Filo Pie",20,History of Art and Philosophy Student,"Southend, Essex"
Ali,4,4,8,OUT,Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry,"Orange, Cardamom and Date M'Hanncha",25,Charity worker,"Saltley, Birmingham"
Kimberley,4,4,4,STAR BAKER,Pecan and Rosemary Caramel Apple Pie,"Chicken, Bacon and Butternut Squash Pie",30,Psychologist,London
Deborah,4,4,NA,NA,NA,NA,51,Dentist,Peterborough
Lucy,4,4,NA,NA,NA,NA,38,Horticulturist,"Grimsby, Lincolnshire"
Mark,4,4,NA,NA,NA,NA,37,Carpenter and Kitchen Fitter,Milton Keynes
Toby,4,4,NA,NA,NA,NA,30,Web Programmer,"Reading, Berkshire"
Beca,4,5,5,IN,"Chocolate, Cherry and Hazelnut Brownies",Tiered Macaron and Sugar Dough Biscuit Centrepiece,31,Military Wives' Choir Singer,"Aldershot, Hampshire"
Frances,4,5,3,IN,Millionaire Banoffee Bonus,Biscuit Buttons and Beads,31,Children's Clothes Designer,"Market Harborough, Leicestershire"
Glenn,4,5,2,IN,Apricot and Pistachio Tiffin,Shortbread and Macaron Helter-Skelter,37,English Teacher,"Teignmouth, Devon"
Howard,4,5,8,IN,Breakfast Traybake,Japanese Pagoda Tea Tower,51,Council Worker,Sheffield
Kimberley,4,5,7,IN,Cherry and Almond Bakewell Florentine Slice,Black and White Viennese Biscuit Stack,30,Psychologist,London
Ruby,4,5,6,IN,Blackberry and Lemon Bakewell Slice,'Dropped Ice-Cream' Biscuit Centrepiece,20,History of Art and Philosophy Student,"Southend, Essex"
Robert,4,5,4,OUT,Blueberry & Orange Traybake,Dalek,54,Space Satellite Designer,"Melbourn, Cambridgeshire"
Christine,4,5,1,STAR BAKER,Mixed Berry and Almond Crumble Traybake,Shortbread Bavarian Clock Tower,66,Director of an engraving company,"Didcot, Oxfordshire"
Ali,4,5,NA,NA,NA,NA,25,Charity worker,"Saltley, Birmingham"
Deborah,4,5,NA,NA,NA,NA,51,Dentist,Peterborough
Lucy,4,5,NA,NA,NA,NA,38,Horticulturist,"Grimsby, Lincolnshire"
Mark,4,5,NA,NA,NA,NA,37,Carpenter and Kitchen Fitter,Milton Keynes
Toby,4,5,NA,NA,NA,NA,30,Web Programmer,"Reading, Berkshire"
Beca,4,6,6,IN,Bara Brith,Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns,31,Military Wives' Choir Singer,"Aldershot, Hampshire"
Christine,4,6,4,IN,Oxford Nutty Fruit Loaf,Schnecken BunsVanilla Custard Skolebrød,66,Director of an engraving company,"Didcot, Oxfordshire"
Frances,4,6,2,IN,Chai Tea Loaf,Hot Cross BriochesRhubarb and Custard Kolaches,31,Children's Clothes Designer,"Market Harborough, Leicestershire"
Glenn,4,6,5,IN,Devonshire Panettone,Almond and Apricot BriochesSticky Caramel Kanelbullen,37,English Teacher,"Teignmouth, Devon"
Kimberley,4,6,3,IN,Chai Spiced Ginger and Date Tea Loaf,Double Chocolate and Hazelnut BriochesDanish Kanelsnurrer,30,Psychologist,London
Howard,4,6,7,OUT,Date & Hemp Yorkshire Loaf,Peachy BunsGerman Baumschnecken,51,Council Worker,Sheffield
Ruby,4,6,1,STAR BAKER,Citrus Tea Loaf,Twisted Swedish KanelbullarSaffron St. Lucia Buns,20,History of Art and Philosophy Student,"Southend, Essex"
Ali,4,6,NA,NA,NA,NA,25,Charity worker,"Saltley, Birmingham"
Deborah,4,6,NA,NA,NA,NA,51,Dentist,Peterborough
Lucy,4,6,NA,NA,NA,NA,38,Horticulturist,"Grimsby, Lincolnshire"
Mark,4,6,NA,NA,NA,NA,37,Carpenter and Kitchen Fitter,Milton Keynes
Robert,4,6,NA,NA,NA,NA,54,Space Satellite Designer,"Melbourn, Cambridgeshire"
Toby,4,6,NA,NA,NA,NA,30,Web Programmer,"Reading, Berkshire"
Beca,4,7,1,IN,Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy,Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille,31,Military Wives' Choir Singer,"Aldershot, Hampshire"
Christine,4,7,6,IN,Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream,Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille,66,Director of an engraving company,"Didcot, Oxfordshire"
Kimberley,4,7,4,IN,Barberry and Apple Spotted Dickwith Maple Syrup and White Chocolate Custard,"Pear, Malt and Butterscotch Mille-feuilleBlackberry and Lemon Verbena Crème Brûle Custard TartsFig, Orange and Thyme Galette",30,Psychologist,London
Ruby,4,7,2,IN,Plum Jam Roly-Polywith Ginger Ice cream,Raspberry and Passion Fruit Mille-feuilleCaramelised Apple LatticePortuguese Custard Tarts,20,History of Art and Philosophy Student,"Southend, Essex"
Glenn,4,7,3,OUT,Prune and Armagnac Puddingwith Boozy Butterscotch Sauce,Caramelised Apple and Marzipan TartletsChocolate Elephant EarsPassion Fruit Mille-feuille,37,English Teacher,"Teignmouth, Devon"
Frances,4,7,5,STAR BAKER,Figgy Roll-y Poly Puddingwith Caramelised Walnut and Honey Ice-Cream,French Framboise Cream HornsSheet Music Mille-feuilleBass Clef Palmiers,31,Children's Clothes Designer,"Market Harborough, Leicestershire"
Ali,4,7,NA,NA,NA,NA,25,Charity worker,"Saltley, Birmingham"
Deborah,4,7,NA,NA,NA,NA,51,Dentist,Peterborough
Howard,4,7,NA,NA,NA,NA,51,Council Worker,Sheffield
Lucy,4,7,NA,NA,NA,NA,38,Horticulturist,"Grimsby, Lincolnshire"
Mark,4,7,NA,NA,NA,NA,37,Carpenter and Kitchen Fitter,Milton Keynes
Robert,4,7,NA,NA,NA,NA,54,Space Satellite Designer,"Melbourn, Cambridgeshire"
Toby,4,7,NA,NA,NA,NA,30,Web Programmer,"Reading, Berkshire"
Beca,4,8,4,IN,"Potato, Spelt and Rosemary Focaccia",Spiced Butternut Squash and Pecan 'Cheese' Cake,31,Military Wives' Choir Singer,"Aldershot, Hampshire"
Frances,4,8,3,IN,'Chelsea Flour Show' Bun Bouquet,"Hidden Carrot Cake (Ground Praline, Beetroot and Walnut)",31,Children's Clothes Designer,"Market Harborough, Leicestershire"
Kimberley,4,8,2,IN,Wild Garlic Pesto and Parma Ham Spelt Loaf,Butternut Squash and Spice Cake Toadstool House,30,Psychologist,London
Christine,4,8,5,OUT,"Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds",Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant,66,Director of an engraving company,"Didcot, Oxfordshire"
Ruby,4,8,1,STAR BAKER,Mango and Nigella Seed Spelt Cob,Carrot Cake and Pistachio Garden Plot,20,History of Art and Philosophy Student,"Southend, Essex"
Ali,4,8,NA,NA,NA,NA,25,Charity worker,"Saltley, Birmingham"
Deborah,4,8,NA,NA,NA,NA,51,Dentist,Peterborough
Glenn,4,8,NA,NA,NA,NA,37,English Teacher,"Teignmouth, Devon"
Howard,4,8,NA,NA,NA,NA,51,Council Worker,Sheffield
Lucy,4,8,NA,NA,NA,NA,38,Horticulturist,"Grimsby, Lincolnshire"
Mark,4,8,NA,NA,NA,NA,37,Carpenter and Kitchen Fitter,Milton Keynes
Robert,4,8,NA,NA,NA,NA,54,Space Satellite Designer,"Melbourn, Cambridgeshire"
Toby,4,8,NA,NA,NA,NA,30,Web Programmer,"Reading, Berkshire"
Frances,4,9,2,IN,"Legume Canapés:
Chantenay CarrotsChoux Pastry TomatoesCauliflower Cheese Scones",Great British Soap Opera Cake,31,Children's Clothes Designer,"Market Harborough, Leicestershire"
Ruby,4,9,4,IN,"Beetroot Jelly on Poppy Seed BiscuitsSpinach, Parmesan and Egg TartletsChoux Buns with Goat's Cheese and Caramelised Onions","Chocolate, Almond Praline and Saffron Opera Cake",20,History of Art and Philosophy Student,"Southend, Essex"
Beca,4,9,3,OUT,Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets,Banoffee Opera Cake,31,Military Wives' Choir Singer,"Aldershot, Hampshire"
Kimberley,4,9,1,STAR BAKER,Pea Purée TartsCrab and Wasabi ProfiterolesSteamed Buns with Barbecue Chicken,Passion Fruit and Lime Opera Cake,30,Psychologist,London
Ali,4,9,NA,NA,NA,NA,25,Charity worker,"Saltley, Birmingham"
Christine,4,9,NA,NA,NA,NA,66,Director of an engraving company,"Didcot, Oxfordshire"
Deborah,4,9,NA,NA,NA,NA,51,Dentist,Peterborough
Glenn,4,9,NA,NA,NA,NA,37,English Teacher,"Teignmouth, Devon"
Howard,4,9,NA,NA,NA,NA,51,Council Worker,Sheffield
Lucy,4,9,NA,NA,NA,NA,38,Horticulturist,"Grimsby, Lincolnshire"
Mark,4,9,NA,NA,NA,NA,37,Carpenter and Kitchen Fitter,Milton Keynes
Robert,4,9,NA,NA,NA,NA,54,Space Satellite Designer,"Melbourn, Cambridgeshire"
Toby,4,9,NA,NA,NA,NA,30,Web Programmer,"Reading, Berkshire"
Kimberley,4,10,1,Runner-up,Chicken and Pig Pie,Languages of Love Wedding Cake,30,Psychologist,London
Ruby,4,10,2,Runner-up,Picnic Basket Pie,"Raspberry, Lemon and Passion Fruit Wedding Cake",20,History of Art and Philosophy Student,"Southend, Essex"
Frances,4,10,3,WINNER,Rainbow Picnic Pie,Midsummer Night's Dream Wedding Cake,31,Children's Clothes Designer,"Market Harborough, Leicestershire"
Ali,4,10,NA,NA,NA,NA,25,Charity worker,"Saltley, Birmingham"
Beca,4,10,NA,NA,NA,NA,31,Military Wives' Choir Singer,"Aldershot, Hampshire"
Christine,4,10,NA,NA,NA,NA,66,Director of an engraving company,"Didcot, Oxfordshire"
Deborah,4,10,NA,NA,NA,NA,51,Dentist,Peterborough
Glenn,4,10,NA,NA,NA,NA,37,English Teacher,"Teignmouth, Devon"
Howard,4,10,NA,NA,NA,NA,51,Council Worker,Sheffield
Lucy,4,10,NA,NA,NA,NA,38,Horticulturist,"Grimsby, Lincolnshire"
Mark,4,10,NA,NA,NA,NA,37,Carpenter and Kitchen Fitter,Milton Keynes
Robert,4,10,NA,NA,NA,NA,54,Space Satellite Designer,"Melbourn, Cambridgeshire"
Toby,4,10,NA,NA,NA,NA,30,Web Programmer,"Reading, Berkshire"
Chetna,5,1,3,IN,"Cardamom, Pistachio and Coffee Swiss Roll",Tiered Victoria Sponges with Lemon Curd and Raspberry Cream,35,Fashion Designer,"Broadstairs, Kent"
Diana,5,1,5,IN,Mum's Sunday Tea Lemon Curd Swiss Roll,Chocolate Ganache Surprises,69,Women's Institute (WI) Judge,"Alkington, Shropshire"
Enwezor,5,1,9,IN,Raspberry and Lemon Swiss Roll,Coffee and Walnut Battenberg Squares,39,Business Consultant,"Portsmouth, Hampshire"
Iain,5,1,4,IN,Apricot and Basil Swiss Roll with Mascarpone and White Chocolate Cream,"Lemon Drizzle Cakes with Mascarpone Filling, Drizzled Icing, and Candied Lemon",31,Construction Engineer,London/Belfast
Jordan,5,1,12,IN,Kawaii Frasier Swiss Roll,Lemon Drizzle Cakes with Blueberry and Lemon Curd,32,IT Manager,"Sneinton, Nottingham"
Kate,5,1,6,IN,Red Velvet and White Chocolate Swiss Roll,Mini Tiered Victoria Sponges,41,Furniture Restorer,"Brighton, East Sussex"
Luis,5,1,7,IN,Spanish Swiss Roll,Raspberry and Lemon Genoise Slices with Lemon Drizzles,42,Graphic Designer,"Poynton, Cheshire"
Martha,5,1,2,IN,Tiramisu Swiss Roll,Mini Lemon and Thyme Drizzle Cakes,17,Student,"Ascot, Berkshire"
Norman,5,1,11,IN,Black Forest Swiss Roll,Almond and Raspberry Mini Cakes,66,Retired Naval Officer,"Portknockie, Moray"
Richard,5,1,10,IN,Pistachio and Strawberry Swiss Roll,Miniature Coffee & Walnut Cakes,38,Builder,"Mill Hill, London"
Claire,5,1,8,OUT,Chocolatey Orangey Swirly Roll,Mini Chocolate and Cherry Cakes,31,Speech Therapist,"Ashton upon Mersey, Trafford"
Nancy,5,1,1,STAR BAKER,Coffee and Hazelnut Swiss Roll,Jaffa Orange Cakes,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
Chetna,5,2,8,IN,Fenugreek and Carom Crackers,Day On The Beach,35,Fashion Designer,"Broadstairs, Kent"
Diana,5,2,7,IN,Parmesan Triangles,"Express, First Class",69,Women's Institute (WI) Judge,"Alkington, Shropshire"
Iain,5,2,11,IN,Za'atar and Fig Biscuits,Wild West Scene,31,Construction Engineer,London/Belfast
Jordan,5,2,6,IN,"Sourdough, Parmesan and Chilli Biscuits",Monster Attack,32,IT Manager,"Sneinton, Nottingham"
Kate,5,2,4,IN,Parmesan and Apple Biscuits,Tea Time,41,Furniture Restorer,"Brighton, East Sussex"
Luis,5,2,3,IN,Black Olive and Rosemary Biscuits with Caramelised Onion Glaze,George Versus The Dragon,42,Graphic Designer,"Poynton, Cheshire"
Martha,5,2,5,IN,Caramelised Onion and Goat's Cheese Sandwich Biscuits,Ski Village Scene,17,Student,"Ascot, Berkshire"
Nancy,5,2,2,IN,Fennel and Rye Thins,Hansel and Gretel Scene,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
Norman,5,2,10,IN,Farthing Biscuits,Zulu Boats at Dawn,66,Retired Naval Officer,"Portknockie, Moray"
Enwezor,5,2,9,OUT,Pumpkin and Sunflower Savoury Biscuits,Space Adventure Moon Scene,39,Business Consultant,"Portsmouth, Hampshire"
Richard,5,2,1,STAR BAKER,Rosemary Seeded Crackers,Pirates!,38,Builder,"Mill Hill, London"
Claire,5,2,NA,NA,NA,NA,31,Speech Therapist,"Ashton upon Mersey, Trafford"
Chetna,5,3,8,IN,Onion and Pine Nut Rolls,Rolled and Filled Twin Loaf,35,Fashion Designer,"Broadstairs, Kent"
Diana,5,3,7,IN,Rustic Picnic Rolls,Sharing Savoury Pinwheel,69,Women's Institute (WI) Judge,"Alkington, Shropshire"
Iain,5,3,9,IN,Cranberry and Walnut Rye Bread Rolls,Moroccan Plaited with a Bessara Dip,31,Construction Engineer,London/Belfast
Kate,5,3,1,IN,Orange and Cardamom Rye Bread Knots,"Prosciutto, Olive and Coriander Bread",41,Furniture Restorer,"Brighton, East Sussex"
